row	obs_hash	next_obs_hash	action	extrinsic	shaped	confidence	terminal	commit	obs_atoms	next_obs_atoms
0	18415308252794022028	4896145274376737746	1	0.010000	0.083251	0.208416	0	0	87,91,54,256,48,44,49,50,56,44,49,50,56,44,48,44,49,50,56,44,259,65,91,51,256,48,44,49,50,56,44,49,50,56,59,73,91,51,256,48,44,48,44,259,69,91,51,256,48,44,48,44,259,77,91,53,256,49,44,49,44,49,44,49,44,264,48	87,91,54,256,45,54,44,49,51,52,44,49,50,50,44,48,44,49,50,56,44,49,59,65,91,51,256,45,52,51,44,48,44,49,50,56,59,73,91,51,256,48,44,48,44,259,69,91,51,256,48,44,48,44,259,77,91,53,256,49,44,49,44,49,44,49,44,264,48
1	4896145274376737746	8957025688532205353	1	0.010000	0.032398	0.210763	0	0	87,91,54,256,45,54,44,49,51,52,44,49,50,50,44,48,44,49,50,56,44,49,59,65,91,51,256,45,52,51,44,48,44,49,50,56,59,73,91,51,256,48,44,48,44,259,69,91,51,256,48,44,48,44,259,77,91,53,256,49,44,49,44,49,44,49,44,264,48	87,91,54,256,45,49,51,44,49,52,49,44,49,49,53,44,48,44,49,50,56,44,50,59,65,91,51,256,45,52,51,44,48,44,49,50,56,59,73,91,51,256,48,44,48,44,259,69,91,51,256,48,44,48,44,259,77,91,53,256,49,44,49,44,49,44,49,44,264,48
2	8957025688532205353	373632090413078178	1	0.010000	0.056471	0.207801	0	0	87,91,54,256,45,49,51,44,49,52,49,44,49,49,53,44,48,44,49,50,56,44,50,59,65,91,51,256,45,52,51,44,48,44,49,50,56,59,73,91,51,256,48,44,48,44,259,69,91,51,256,48,44,48,44,259,77,91,53,256,49,44,49,44,49,44,49,44,264,48	87,91,54,256,45,49,57,44,49,52,55,44,49,48,57,44,48,44,48,44,51,59,65,91,51,256,45,52,51,44,48,44,49,50,56,59,73,91,51,256,48,44,48,44,259,69,91,51,256,48,44,48,44,259,77,91,53,256,49,44,49,44,49,44,49,44,264,48
3	373632090413078178	4810557679640651660	1	0.010000	0.081362	0.207481	0	0	87,91,54,256,45,49,57,44,49,52,55,44,49,48,57,44,48,44,48,44,51,59,65,91,51,256,45,52,51,44,48,44,49,50,56,59,73,91,51,256,48,44,48,44,259,69,91,51,256,48,44,48,44,259,77,91,53,256,49,44,49,44,49,44,49,44,264,48	87,91,54,256,45,50,54,44,49,53,52,44,49,48,50,44,48,44,48,44,52,59,65,91,51,256,45,52,51,44,48,44,49,50,56,59,73,91,51,256,48,44,48,44,259,69,91,51,256,48,44,48,44,259,77,91,53,256,49,44,49,44,49,44,49,44,264,48
4	4810557679640651660	3421936895299251321	1	0.010000	0.045950	0.207194	0	0	87,91,54,256,45,50,54,44,49,53,52,44,49,48,50,44,48,44,48,44,52,59,65,91,51,256,45,52,51,44,48,44,49,50,56,59,73,91,51,256,48,44,48,44,259,69,91,51,256,48,44,48,44,259,77,91,53,256,49,44,49,44,49,44,49,44,264,48	87,91,54,256,45,51,50,44,49,54,48,44,57,54,44,48,44,48,44,53,59,65,91,51,256,45,52,51,44,48,44,49,50,56,59,73,91,51,256,48,44,48,44,259,69,91,51,256,48,44,48,44,259,77,91,53,256,49,44,49,44,49,44,49,44,264,48
5	3421936895299251321	9198464541740879390	1	0.010000	-0.002612	0.207070	0	0	87,91,54,256,45,51,50,44,49,54,48,44,57,54,44,48,44,48,44,53,59,65,91,51,256,45,52,51,44,48,44,49,50,56,59,73,91,51,256,48,44,48,44,259,69,91,51,256,48,44,48,44,259,77,91,53,256,49,44,49,44,49,44,49,44,264,48	87,91,54,256,45,51,56,44,49,54,54,44,57,48,44,48,44,48,44,54,59,65,91,51,256,45,52,51,44,48,44,49,50,56,59,73,91,51,256,48,44,48,44,259,69,91,51,256,48,44,48,44,259,77,91,53,256,49,44,49,44,49,44,49,44,264,48
6	9198464541740879390	4064925572956956055	1	0.010000	-0.008206	0.207023	0	0	87,91,54,256,45,51,56,44,49,54,54,44,57,48,44,48,44,48,44,54,59,65,91,51,256,45,52,51,44,48,44,49,50,56,59,73,91,51,256,48,44,48,44,259,69,91,51,256,48,44,48,44,259,77,91,53,256,49,44,49,44,49,44,49,44,264,48	87,91,54,256,45,52,53,44,49,55,51,44,56,51,44,48,44,48,44,55,59,65,91,51,256,45,52,51,44,48,44,49,50,56,59,73,91,51,256,48,44,48,44,259,69,91,51,256,48,44,48,44,259,77,91,53,256,49,44,49,44,49,44,49,44,264,48
7	4064925572956956055	12423649276968805507	1	0.010000	-0.005788	0.207201	0	0	87,91,54,256,45,52,53,44,49,55,51,44,56,51,44,48,44,48,44,55,59,65,91,51,256,45,52,51,44,48,44,49,50,56,59,73,91,51,256,48,44,48,44,259,69,91,51,256,48,44,48,44,259,77,91,53,256,49,44,49,44,49,44,49,44,264,48	87,91,54,256,45,53,49,44,49,55,57,44,55,55,44,48,44,48,44,57,59,65,91,51,256,45,52,51,44,48,44,49,50,56,59,73,91,51,256,48,44,48,44,259,69,91,51,256,48,44,48,44,259,77,91,53,256,49,44,49,44,49,44,49,44,264,48
8	12423649276968805507	9043776676160246535	1	0.010000	0.069346	0.207253	0	0	87,91,54,256,45,53,49,44,49,55,57,44,55,55,44,48,44,48,44,57,59,65,91,51,256,45,52,51,44,48,44,49,50,56,59,73,91,51,256,48,44,48,44,259,69,91,51,256,48,44,48,44,259,77,91,53,256,49,44,49,44,49,44,49,44,264,48	87,91,54,256,45,53,56,44,49,56,54,44,55,48,44,48,44,48,44,49,259,65,91,51,256,45,52,51,44,48,44,49,50,56,59,73,91,51,256,48,44,48,44,259,69,91,51,256,48,44,48,44,259,77,91,53,256,49,44,49,44,49,44,49,44,264,48
9	9043776676160246535	15667717671129805221	3	0.020000	0.090873	0.197707	0	0	87,91,54,256,45,53,56,44,49,56,54,44,55,48,44,48,44,48,44,49,259,65,91,51,256,45,52,51,44,48,44,49,50,56,59,73,91,51,256,48,44,48,44,259,69,91,51,256,48,44,48,44,259,77,91,53,256,49,44,49,44,49,44,49,44,264,48	87,91,54,256,45,55,48,44,49,57,56,44,53,56,44,48,44,48,44,49,49,59,65,91,51,256,45,56,53,44,48,44,49,50,56,59,73,91,51,256,48,44,48,44,259,69,91,51,256,48,44,48,44,259,77,91,53,256,49,44,49,44,49,44,49,44,264,48
